iso,valence,arousal,dominance,joy,anger,sadness,fear,disgust
ky,0.6545431116819255,0.37140317509037424,0.6114711294967186,0.5643539047488113,0.6449849844476034,0.617052783978519,0.5926975346728738,0.597859471957715
ko,0.7383344654332978,0.5740396965596261,0.6887940824750229,0.6686989897566947,0.6692329007983921,0.6579299534090236,0.6523326295391454,0.6887719961834199
ku,0.36701147975888987,0.21787713196453007,0.33456211922536516,0.3324732562705749,0.3397005359675565,0.3313319434245584,0.30542407924487797,0.34688143596069004
la,0.4735767357204104,0.3300002687291706,0.40487581135911754,0.388915775109867,0.47134160167780276,0.4577248409627638,0.4330656342274948,0.4377878855997227
lv,0.8191197972552321,0.6306311546771617,0.7529133718477748,0.762081343717084,0.7948699410792095,0.7793706391631343,0.7562654816763599,0.769338046081195
lt,0.8287722550616119,0.633004284404172,0.773491778383753,0.7485937922163814,0.7890451448132618,0.7724985331279814,0.7465141434246998,0.763531848331422
lb,0.5312987144761903,0.37334290297621936,0.4724867100813179,0.4481560773227625,0.5494998360055876,0.5159932034246785,0.4950039781617137,0.5083717919329745
mk,0.8190477913603565,0.5445776154776091,0.7548579992558454,0.7689184341303857,0.7611091190972288,0.7253244294948443,0.7241097825506133,0.7402657859090497
mg,0.40241862971649545,0.31846169295665494,0.35744780149306987,0.3370213803581078,0.4120333361108779,0.3665034909538344,0.3628679923762548,0.3638810001962356
ms,0.7547732393780018,0.578233327313924,0.6903241313150926,0.6880256896659804,0.7234910479381313,0.6970883386230347,0.6520997394391231,0.7264063409767849
ml,0.6736053583851797,0.5093802494358494,0.6243578224057992,0.6254490300300733,0.671179155291609,0.6684101876996177,0.6212635580605749,0.6112058271819436
mt,0.4679598782821397,0.31963120455643657,0.44453419570039054,0.37610732883901365,0.4256050334308076,0.40371291476224397,0.39472740110037374,0.3769995510041657
mr,0.7394906712000279,0.5434251081143547,0.6766992955742082,0.7007688332140923,0.735571849769073,0.7034990766331382,0.6910186482978862,0.7122811870761487
mn,0.7773693206147684,0.5652550025004326,0.7272726461176204,0.7123313835951136,0.7798256814968542,0.7219533960349159,0.7368826683737616,0.7409653308267627
ne,0.6840752023398696,0.43821633536463545,0.6205130473482258,0.6312092352472349,0.6498425183454836,0.6314747960470785,0.6114537961705137,0.6155600728070472
no,0.8360093119506913,0.6319624888011519,0.7715312021812649,0.7777239880843971,0.8169965635289309,0.7807832208063121,0.7814211142197964,0.7762242326727135
ps,0.581775827048068,0.4031575129908184,0.5649454393807954,0.5229189000029908,0.5516592962228033,0.5423598634673792,0.5493489194108164,0.4886313231501277
fa,0.7689506546904354,0.5761624312298289,0.7007727309087117,0.7031569148019111,0.7425887347834104,0.7328314125823042,0.7044231109504732,0.6980841848905412
pl,0.8524942293166201,0.6286540003752135,0.7764988268833324,0.7987308257415192,0.8240992913859387,0.7990287159409024,0.7842504234143023,0.775256096831346
pt,0.8570099715693114,0.699248662500213,0.782980919253301,0.7752477081698735,0.8284327841249189,0.8112853603980706,0.7802154029520753,0.8190399138048498
ro,0.8451755128914241,0.6535628259925205,0.7811377345840982,0.7827030618435795,0.8227195467556342,0.8141320587563267,0.7866397933728734,0.7807081155889718
ru,0.8232341432623229,0.6425662375755452,0.7492982782590848,0.7975287047196374,0.8077694481187884,0.7710026622925411,0.7699306215936055,0.767537671144188
gd,0.44782761749542144,0.3590322332478267,0.3904674389329395,0.4042219600580045,0.3610457649664874,0.36055358873677695,0.3482320506008221,0.3289255656437842
sr,0.7648031293344942,0.5680383711647353,0.7129961275913177,0.7232237168570165,0.7398674106581967,0.6985922307775222,0.7000363997298945,0.7253065717391342
sd,0.4747456032537092,0.3500724440430252,0.3886713466389966,0.4094048888028803,0.5047181925850293,0.4862861030187315,0.5020581841888796,0.4554898281567269
si,0.6567456147024165,0.4758879321433356,0.5881100578736231,0.6490081253525445,0.6711939573250708,0.6228086155772832,0.6262113900848233,0.652395002563811
sk,0.800198592068413,0.5974122950587011,0.7456576465548782,0.7350470788548422,0.742183423903864,0.7320054148150958,0.7107034096878343,0.7345978040711093
sl,0.8054648183398936,0.541044205865903,0.7538139222499466,0.7398636982917184,0.740725636563403,0.7039129057002058,0.700216827715982,0.7171715123067555
so,0.40061254687957104,0.2190487584341736,0.34893379378130457,0.3611712915275008,0.4424139812153744,0.41404526283352644,0.41393007368187607,0.3824901319192935
es,0.8856450412658041,0.7023420526880586,0.7993126117983802,0.8297909632936824,0.8559002024703145,0.8460560699118369,0.8184236029592069,0.8103281950351424
su,0.5393769556316239,0.36149799385579356,0.4749413793643409,0.4477993375944792,0.5271865266311329,0.5193390509810352,0.4837511640920345,0.5171112588575153
sw,0.5882619962596042,0.33991418828490894,0.5694147625844433,0.5210861304892398,0.5905676196365599,0.5786193985582281,0.5709803054371831,0.5142356092661551
sv,0.87136970724679,0.641862699722214,0.7975348097721718,0.8170289197180041,0.8400168491310996,0.815071056770957,0.807746928080265,0.7979674812030343
tl,0.7969309839777646,0.5602463248504432,0.7615269624612184,0.7030949651325864,0.7657267371010668,0.7629373128991761,0.7352088666066967,0.7216492208689241
tg,0.6706082335755721,0.380879079417007,0.64463382459809,0.5709818926922953,0.6526450320164119,0.6473758617213917,0.6044135095484071,0.6048198752146555
ta,0.7006020195188403,0.512121236329644,0.6647638414254936,0.6379265377484564,0.6647697967404048,0.6643565891354404,0.6314183734938912,0.6365832234952533
te,0.694030742565251,0.46206219589596564,0.6222502381878722,0.6045930003538181,0.6522980300688174,0.626150437927619,0.6080020719534986,0.6491819715429487
